IMAGE_NAME,TFS,LOSS,M_LOSS,LOSS_NOT_AUG_BEF,LOSS_NOT_AUG_AFTER
"('leucoplasias/51.png',)","(""'Transpose'-'Solarize'-'Equalize'-'Posterize'-'ElasticTransform'-'RandomContrast'-'GaussNoise'-'GaussianBlur'"",)",0.36918413639068604,0.3602328386157751,2.0350799560546875,1.4043231010437012
"('leucoplasias/6.png',)","(""'Transpose'-'Posterize'-'OpticalDistortion'-'GaussNoise'-'RandomResizedCrop'"",)",0.24000714719295502,0.3545078056908789,0.4387274384498596,0.44543686509132385
"('carcinomas/54.png',)","(""'VerticalFlip'-'RandomRotate90'-'GridDistortion'-'RandomGamma'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.1367044448852539,0.34460765292698686,1.7976571321487427,1.9852852821350098
"('leucoplasias/31.png',)","(""'VerticalFlip'-'Solarize'-'ISONoise'-'Posterize'-'GridDistortion'-'RandomGamma'-'GaussNoise'-'GaussianBlur'"",)",0.23050878942012787,0.33964683277451474,0.1372184157371521,0.13239622116088867
"('carcinomas/33.png',)","(""'VerticalFlip'-'Transpose'-'GridDistortion'-'RandomContrast'-'GaussNoise'-'RandomResizedCrop'"",)",0.10803879797458649,0.3299964979911844,0.7486760020256042,0.7109113931655884
"('carcinomas/27.png',)","(""'HorizontalFlip'-'VerticalFlip'-'RandomRotate90'-'Transpose'-'Equalize'-'OpticalDistortion'-'RandomGamma'"",)",0.19206653535366058,0.32447929948568344,0.7126904129981995,0.7544583082199097
"('carcinomas/31.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Posterize'-'OpticalDistortion'-'RandomBrightness'-'RandomGamma'"",)",0.20125770568847656,0.3197400074165601,0.26002734899520874,0.25969091057777405
"('carcinomas/76.png',)","(""'VerticalFlip'-'RandomRotate90'-'Transpose'-'Posterize'-'ElasticTransform'-'RandomContrast'-'RandomGamma'-'GaussianBlur'-'RandomResizedCrop'"",)",0.39970263838768005,0.3227015863414164,0.8977417349815369,0.837656557559967
"('leucoplasias/19.png',)","(""'VerticalFlip'-'Solarize'-'Equalize'-'Posterize'-'GridDistortion'-'RandomBrightness'-'GaussianBlur'"",)",0.14862053096294403,0.31648440579218523,0.13051939010620117,0.14486470818519592
"('carcinomas/13.png',)","(""'VerticalFlip'-'ISONoise'-'Equalize'-'GridDistortion'-'RandomBrightness'-'RandomGamma'-'GaussNoise'"",)",0.2036953717470169,0.3125951287561449,0.20872808992862701,0.22473083436489105
"('carcinomas/58.png',)","(""'HorizontalFlip'-'VerticalFlip'-'RandomRotate90'-'Solarize'-'ISONoise'-'Posterize'-'ElasticTransform'-'RandomBrightness'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.3092443645000458,0.31248343661427497,1.9596275091171265,1.3745307922363281
"('leucoplasias/49.png',)","(""'VerticalFlip'-'RandomRotate90'-'Solarize'-'Equalize'-'Posterize'-'ElasticTransform'-'RandomContrast'-'GaussNoise'-'GaussianBlur'"",)",0.10010630637407303,0.3056325614452362,0.11783110350370407,0.11705170571804047
"('leucoplasias/38.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Equalize'-'Posterize'-'GridDistortion'-'RandomContrast'-'RandomGamma'"",)",0.14872750639915466,0.30072927847504616,2.153179168701172,2.4182889461517334
"('leucoplasias/56.png',)","(""'RandomRotate90'-'Equalize'-'OpticalDistortion'-'RandomContrast'-'RandomGamma'-'GaussNoise'-'GaussianBlur'"",)",0.458416610956192,0.30550768248962634,0.32931452989578247,0.2868233323097229
"('leucoplasias/47.png',)","(""'VerticalFlip'-'Solarize'-'Equalize'-'GridDistortion'-'RandomBrightness'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.19564704596996307,0.30227648729787154,1.8259421586990356,2.067436695098877
"('leucoplasias/66.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'Posterize'-'GridDistortion'-'RandomBrightness'-'GaussNoise'-'RandomResizedCrop'"",)",0.4558924436569214,0.3066655146224158,1.7140010595321655,1.8856877088546753
"('leucoplasias/69.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'RandomGamma'-'GaussianBlur'"",)",0.28916123509407043,0.30617928463551736,2.1142818927764893,2.4586660861968994
"('leucoplasias/14.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'Equalize'-'OpticalDistortion'-'RandomBrightness'-'GaussianBlur'-'RandomResizedCrop'"",)",0.12627540528774261,0.301317017626118,1.5137344598770142,1.7131956815719604
"('carcinomas/20.png',)","(""'VerticalFlip'-'RandomRotate90'-'Solarize'-'ISONoise'-'Equalize'-'Posterize'-'GridDistortion'-'RandomGamma'-'RandomResizedCrop'"",)",0.17019297182559967,0.29786638484189387,1.9375746250152588,1.970977783203125
"('carcinomas/37.png',)","(""'Transpose'-'Solarize'-'ISONoise'-'Equalize'-'ElasticTransform'-'RandomContrast'"",)",0.08523788303136826,0.2924143719749573,0.7082247734069824,0.745048463344574
"('carcinomas/64.png',)","(""'HorizontalFlip'-'VerticalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'ISONoise'-'Posterize'-'RandomContrast'-'RandomBrightness'-'GaussianBlur'-'RandomResizedCrop'"",)",2.3454697132110596,0.34374075550585986,0.9322317242622375,1.0954197645187378
"('leucoplasias/40.png',)","(""'VerticalFlip'-'Transpose'-'Equalize'-'Posterize'-'ElasticTransform'-'RandomBrightness'-'RandomGamma'-'GaussNoise'-'RandomResizedCrop'"",)",0.22129759192466736,0.34075433688192835,1.0586631298065186,0.9889901876449585
"('carcinomas/26.png',)","(""'VerticalFlip'-'RandomRotate90'-'ISONoise'-'Equalize'-'Posterize'-'OpticalDistortion'-'RandomContrast'-'RandomBrightness'-'GaussNoise'-'RandomResizedCrop'"",)",0.44850850105285645,0.3433199122193314,0.742899477481842,0.946601152420044
"('leucoplasias/35.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Transpose'-'ISONoise'-'GaussianBlur'"",)",0.0600438117980957,0.33673209593046544,0.05298089236021042,0.05899904668331146
"('carcinomas/15.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'OpticalDistortion'-'RandomContrast'-'GaussNoise'-'RandomResizedCrop'"",)",0.18377871811389923,0.33325588279827073,0.705024778842926,0.6940479874610901
"('carcinomas/41.png',)","(""'VerticalFlip'-'RandomRotate90'-'Transpose'-'Equalize'-'Posterize'-'ElasticTransform'-'RandomGamma'-'RandomResizedCrop'"",)",0.3550557792186737,0.33374032494094635,0.8777765035629272,0.7004861831665039
"('carcinomas/34.png',)","(""'RandomRotate90'-'Transpose'-'Solarize'-'ISONoise'-'Equalize'-'OpticalDistortion'-'RandomContrast'-'RandomBrightness'-'RandomGamma'-'GaussNoise'-'RandomResizedCrop'"",)",0.622169554233551,0.34001052557774214,0.9310706853866577,1.0364876985549927
"('carcinomas/6.png',)","(""'Transpose'-'ISONoise'-'Equalize'-'OpticalDistortion'-'RandomBrightness'-'RandomGamma'-'GaussNoise'-'RandomResizedCrop'"",)",0.2014865279197693,0.3370632064786363,1.4852873086929321,1.5337060689926147
"('leucoplasias/48.png',)","(""'Solarize'-'ISONoise'-'Equalize'-'OpticalDistortion'-'RandomContrast'-'RandomBrightness'-'RandomGamma'-'GaussNoise'-'RandomResizedCrop'"",)",0.12188500165939331,0.33258032721156877,0.43511030077934265,0.4241117835044861
"('leucoplasias/64.png',)","(""'HorizontalFlip'-'Transpose'-'OpticalDistortion'-'RandomBrightness'-'RandomGamma'-'GaussianBlur'"",)",0.14732682704925537,0.32879964353478686,0.6362138390541077,0.9320406913757324
"('leucoplasias/25.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'Posterize'-'OpticalDistortion'-'GaussNoise'"",)",0.33674073219299316,0.328958465307951,0.3490388095378876,0.34242042899131775
"('carcinomas/18.png',)","(""'ElasticTransform'-'RandomBrightness'-'RandomGamma'-'GaussNoise'-'RandomResizedCrop'"",)",0.30724823474884033,0.3285327745126743,0.4807271659374237,0.4330690801143646
"('leucoplasias/62.png',)","(""'VerticalFlip'-'Transpose'-'ISONoise'-'Equalize'-'Posterize'-'OpticalDistortion'-'RandomContrast'-'RandomBrightness'"",)",0.15524257719516754,0.32520027071810687,0.29331308603286743,0.27989938855171204
"('leucoplasias/63.png',)","(""'VerticalFlip'-'Solarize'-'ISONoise'-'ElasticTransform'-'RandomContrast'-'RandomGamma'-'RandomResizedCrop'"",)",0.6331297159194946,0.3310102602502085,0.5036638975143433,0.48814159631729126
"('carcinomas/16.png',)","(""'Equalize'-'GridDistortion'-'RandomContrast'"",)",0.08304698020219803,0.32641834765672684,0.351213663816452,0.3172912299633026
